protein,replicate,selection,stat,pval,pass
1g38_D,1,all,0.123028224742812,0.107837483668253,FALSE
1g38_D,1,bb,0.130783434450013,0.0737722921159877,FALSE
1g38_D,1,ca,0.219256132946452,0.000187554135147227,TRUE
1g38_D,2,all,0.225771564231074,0.000107197062001464,TRUE
1g38_D,2,bb,0.205618570298074,0.000573599402455943,TRUE
1g38_D,2,ca,0.328963334212609,1.71350599705307e-09,TRUE
1g38_D,3,all,0.100764969664996,0.281268719569146,FALSE
1g38_D,3,bb,0.121656554998681,0.115047245119025,FALSE
1g38_D,3,ca,0.187575837509892,0.00225432971396192,TRUE
1jq5_A,1,all,0.153894303854064,0.0272758325020409,TRUE
1jq5_A,1,bb,0.37145667531074,2.71681001919625e-11,TRUE
1jq5_A,1,ca,0.187606187963874,0.00338121703404054,TRUE
1jq5_A,2,all,0.158544218903693,0.0209584261076277,TRUE
1jq5_A,2,bb,0.353661808101583,2.82031972383328e-10,TRUE
1jq5_A,2,ca,0.195624310709708,0.00193672394524975,TRUE
1jq5_A,3,all,0.191928224388208,0.0025112052043312,TRUE
1jq5_A,3,bb,0.0975886017466989,0.353623050050555,FALSE
1jq5_A,3,ca,0.157739425914334,0.0219485463355556,TRUE
1ls1_A,1,all,0.0284567350579839,0.999984572484389,FALSE
1ls1_A,1,bb,0.0330954504906334,0.999587764719966,FALSE
1ls1_A,1,ca,0.128099910793934,0.0450637054992364,TRUE
1ls1_A,2,all,0.119625334522748,0.0732057942734816,FALSE
1ls1_A,2,bb,0.0848349687778769,0.376389491631143,FALSE
1ls1_A,2,ca,0.0690454950936664,0.640219265559301,FALSE
1ls1_A,3,all,0.0783229259589652,0.477571654351399,FALSE
1ls1_A,3,bb,0.0786797502230152,0.471686070587766,FALSE
1ls1_A,3,ca,0.115789473684211,0.0901928508105001,FALSE
1lsl_A,1,all,0.734649122807018,2.6916210583991e-15,TRUE
1lsl_A,1,bb,0.699248120300752,9.60077481933385e-14,TRUE
1lsl_A,1,ca,0.682644110275689,2.38758904992253e-13,TRUE
1lsl_A,2,all,0.367167919799499,0.000497683358488827,TRUE
1lsl_A,2,bb,0.402882205513784,9.29090861524074e-05,TRUE
1lsl_A,2,ca,0.245300751879699,0.0482902277989176,TRUE
1lsl_A,3,all,0.378446115288221,0.00045727887925779,TRUE
1lsl_A,3,bb,0.257832080200501,0.0353692200304016,TRUE
1lsl_A,3,ca,0.170426065162907,0.324240147644125,FALSE
1k5n_A,1,all,0.271997673742367,0.00019840329365963,TRUE
1k5n_A,1,bb,0.260947949985461,0.000413256104962205,TRUE
1k5n_A,1,ca,0.284908403605699,8.0996780787773e-05,TRUE
1k5n_A,2,all,0.297528351264903,3.24126479764969e-05,TRUE
